id,category,content,date
1,news,"Scientists Discover New Species of Orchid in Amazon Rainforest",2023-08-11
2,sports,"Local Soccer Team Wins Championship Title",2023-08-10
3,technology,"New Smartphone Model Features Advanced AI Technology",2023-08-09
4,entertainment,"Actor's Latest Movie Breaks Box Office Records",2023-08-08
5,science,"Study Shows Link Between Sleep and Cognitive Function",2023-08-07
6,food,"Top Chef Shares Recipe for Decadent Chocolate Cake",2023-08-06
7,travel,"10 Must-Visit Destinations for Your Next Vacation",2023-08-05
8,health,"Tips for Maintaining a Healthy Lifestyle in a Busy World",2023-08-04
9,education,"Online Learning Platforms Transforming the Way We Learn",2023-08-03
10,environment,"Efforts to Reduce Plastic Waste in Oceans Gain Momentum",2023-08-02
